model,n_features,features,auc,recall_%,detected,precision_%
Qwen 2.5 0.5B,1,L19_Smoothness,0.8118,70.0,140/200,53.8
Qwen 2.5 0.5B,2,L20_Smoothness + L22_HFER,0.8291,78.5,157/200,48.5
Qwen 2.5 0.5B,3,L19_Smoothness + L17_Smoothness + L17_HFER,0.8472,86.5,173/200,45.1
Qwen 2.5 0.5B,4,L19_Smoothness + L23_Entropy + L17_Smoothness + L17_HFER,0.8648,83.0,166/200,52.4
Qwen 2.5 0.5B,5,L19_Smoothness + L23_Entropy + L17_Smoothness + L17_HFER + L22_HFER,0.8752,82.0,164/200,56.7
Mistral v0.1,1,L27_Smoothness,0.8040,72.5,150/207,46.2
Mistral v0.1,2,L1_Fiedler + L25_Smoothness,0.8668,80.7,167/207,50.8
Mistral v0.1,3,L1_Fiedler + L5_Smoothness + L3_Smoothness,0.8891,81.2,168/207,55.3
Mistral v0.1,4,L1_Fiedler + L25_Smoothness + L5_Smoothness + L3_Smoothness,0.8957,75.8,157/207,68.3
Mistral v0.1,5,L1_Fiedler + L25_Smoothness + L5_Smoothness + L3_Smoothness + L24_Entropy,0.9003,82.1,170/207,60.5
Llama 3.1 8B,1,L0_Fiedler,0.7766,88.5,192/217,35.7
Llama 3.1 8B,2,L23_Entropy + L0_Smoothness,0.7950,82.0,178/217,39.4
Llama 3.1 8B,3,L0_Fiedler + L24_HFER + L27_HFER,0.8238,88.5,192/217,38.7
Llama 3.1 8B,4,L0_Fiedler + L24_HFER + L25_HFER + L27_HFER,0.8353,71.9,156/217,49.2
Llama 3.1 8B,5,L0_Fiedler + L24_HFER + L25_HFER + L27_HFER + L30_HFER,0.8449,78.8,171/217,48.9
