type,logprob,fiedler,label
valid,-2.171875,0.61890453,0
invalid,-2.78125,0.6191526,1
valid,-1.53125,0.6112893,0
invalid,-1.859375,0.6104199,1
valid,-1.15625,0.612695,0
invalid,-1.5,0.61274475,1
valid,-3.71875,0.61846167,0
invalid,-4.59375,0.61843497,1
valid,-1.5703125,0.61279446,0
invalid,-1.65625,0.61341816,1
valid,-1.375,0.6170707,0
invalid,-1.5703125,0.61961436,1
valid,-1.6328125,0.6146123,0
invalid,-1.734375,0.61339945,1
valid,-1.21875,0.6154399,0
invalid,-1.4140625,0.61268395,1
valid,-1.34375,0.6154873,0
invalid,-2.046875,0.61624694,1
valid,-1.796875,0.6172938,0
invalid,-2.03125,0.61701983,1
valid,-2.21875,0.615256,0
invalid,-2.578125,0.61784977,1
valid,-1.6484375,0.61869514,0
invalid,-2.140625,0.6174668,1
valid,-1.1875,0.6127401,0
invalid,-1.203125,0.6102378,1
valid,-1.765625,0.61414593,0
invalid,-2.046875,0.61514354,1
valid,-2.3125,0.61908525,0
invalid,-2.515625,0.61982876,1
valid,-1.3671875,0.61536366,0
invalid,-1.609375,0.61842513,1
valid,-0.984375,0.6139028,0
invalid,-1.3046875,0.61267614,1
valid,-1.703125,0.61286813,0
invalid,-1.7109375,0.61228985,1
valid,-1.4375,0.6138878,0
invalid,-1.7734375,0.61455804,1
valid,-3.671875,0.61351633,0
invalid,-4.5,0.6130511,1
valid,-1.921875,0.61252195,0
invalid,-2.03125,0.61656314,1
valid,-1.7265625,0.6185972,0
invalid,-2.125,0.61829346,1
valid,-1.3046875,0.6142722,0
invalid,-1.5703125,0.61344427,1
valid,-2.140625,0.6193328,0
invalid,-2.5,0.61812,1
valid,-2.359375,0.6211669,0
invalid,-2.78125,0.6177251,1
valid,-1.5625,0.6160217,0
invalid,-1.96875,0.6138525,1
valid,-1.09375,0.6109865,0
invalid,-1.5390625,0.6110737,1
valid,-1.4921875,0.61113447,0
invalid,-1.671875,0.6115325,1
valid,-2.0625,0.6139323,0
invalid,-2.09375,0.61637,1
valid,-3.140625,0.61755854,0
invalid,-3.703125,0.61870164,1
valid,-1.8203125,0.6165497,0
invalid,-2.4375,0.6143784,1
valid,-1.1796875,0.61278313,0
invalid,-1.578125,0.6098675,1
valid,-3.5625,0.6188558,0
invalid,-3.828125,0.61751944,1
valid,-1.8203125,0.6188073,0
invalid,-2.375,0.6155123,1
valid,-1.8671875,0.61766106,0
invalid,-2.53125,0.6201027,1
valid,-1.59375,0.61579496,0
invalid,-2.15625,0.6169212,1
valid,-1.1640625,0.6156202,0
invalid,-1.265625,0.61368537,1
valid,-1.0703125,0.6126987,0
invalid,-1.3046875,0.6125812,1
valid,-0.99609375,0.6134856,0
invalid,-1.1796875,0.61215085,1
valid,-3.453125,0.61802334,0
invalid,-4.6875,0.6170034,1
valid,-1.84375,0.6167799,0
invalid,-2.078125,0.61289996,1
valid,-1.75,0.6156888,0
invalid,-1.859375,0.61279875,1
valid,-1.34375,0.6104927,0
invalid,-1.6015625,0.60846466,1
valid,-2.375,0.6185917,0
invalid,-2.59375,0.61891127,1
valid,-3.25,0.6194862,0
invalid,-4.0625,0.61836046,1
valid,-1.546875,0.6119818,0
invalid,-1.8671875,0.60676455,1
valid,-1.6875,0.61647147,0
invalid,-2.203125,0.61510915,1
valid,-1.484375,0.61321145,0
invalid,-1.7109375,0.6123,1
valid,-1.5546875,0.6116836,0
invalid,-1.703125,0.6121505,1
valid,-1.21875,0.611151,0
invalid,-1.515625,0.60814184,1
