is_hallucination,ppl,logprob_mean,logprob_min,generated_len
1,10.688203161633492,-2.369140625,-18.84375,630
1,7150.946467468294,-8.875,-17.578125,42
1,18.758380733362646,-2.931640625,-11.890625,77
1,3.2692817501147697,-1.1845703125,-19.453125,227
1,8.08365199499831,-2.08984375,-14.296875,166
1,2.0801122841070816,-0.732421875,-17.53125,626
1,3.986096774117403,-1.3828125,-14.6953125,116
1,7.064470913932868,-1.955078125,-14.28125,95
1,3.88995829891644,-1.3583984375,-17.171875,100
1,3.814719694641214,-1.3388671875,-12.703125,525
