Model,HFER_Best_AUC,HFER_Best_Recall,HFER_Best_Precision,HFER_Best_Detected,HFER_Best_CohenD,HFER_Best_PVal,Fiedler_Best_AUC,Fiedler_Best_Recall,Fiedler_Best_Precision,Fiedler_Best_Detected,Fiedler_Best_CohenD,Fiedler_Best_PVal,Smoothness_Best_AUC,Smoothness_Best_Recall,Smoothness_Best_Precision,Smoothness_Best_Detected,Smoothness_Best_CohenD,Smoothness_Best_PVal,Entropy_Best_AUC,Entropy_Best_Recall,Entropy_Best_Precision,Entropy_Best_Detected,Entropy_Best_CohenD,Entropy_Best_PVal
Llama-3.1-8B (Finance),0.6486884091876695,0.6492659053833605,0.7145421903052065,398,0.48562893492902853,8.641985024097707e-14,0.6956932272763677,0.7862969004893964,0.7280966767371602,482,0.6615217562077724,1.604154906040968e-22,0.6864237810404206,0.601957585644372,0.753061224489796,369,0.605772446382391,4.3357284045891835e-20,0.6674127748902967,0.7047308319738989,0.733446519524618,432,0.5660258641961649,4.1125055784737066e-17
Llama-3.1-8B (General),0.7736167758414699,0.7373271889400922,0.3902439024390244,160,1.1516927875487786,1.6171657928499441e-28,0.7765712637792728,0.8847926267281107,0.35687732342007433,192,1.06349079214591,4.355328435701658e-41,0.7613338747932741,0.7741935483870968,0.35294117647058826,168,1.0064045366609726,1.8276449060747297e-31,0.767048631342291,0.7649769585253456,0.3833718244803695,166,1.0179303460979514,4.820886384415043e-36
Mistral-7B (General),0.7536658320692533,0.6618357487922706,0.39710144927536234,137,0.9841655436511642,3.5989458716223514e-29,0.8012378846306145,0.7777777777777778,0.3898305084745763,161,1.1075810375015804,6.039295200825805e-51,0.8039548951879671,0.7246376811594203,0.46153846153846156,150,1.2907851338678664,6.251758254484934e-39,0.7816583511522928,0.6570048309178744,0.48056537102473496,136,1.030258839216464,1.5196197618022715e-33
Qwen-2.5-7B (Finance),0.6969330104923326,0.5402298850574713,0.3333333333333333,94,0.8061300118706759,9.962779794883572e-15,0.6702290501238486,0.5172413793103449,0.6521739130434783,90,0.9973496853218274,3.3911217690042886e-14,0.8159249672984331,0.7528735632183908,0.4106583072100313,131,1.468020420578048,1.6041506518704628e-27,0.7284865436531129,0.6264367816091954,0.3865248226950354,109,0.8416095389466343,2.1553608139267212e-12
Qwen-2.5-7B (General),0.7052187499999999,0.695,0.3483709273182957,139,0.7781574376088887,1.521565006967064e-16,0.65729375,0.43,0.6277372262773723,86,0.7491084674920702,2.18044979999417e-11,0.8118375,0.7,0.5384615384615384,140,1.4477529688675834,7.78273907446623e-32,0.7404062499999999,0.59,0.5152838427947598,118,0.8509911906532621,2.138962326671462e-15
"Llama-3.1-8B (Finance, T=1.0)",0.630977409885828,0.574468085106383,0.6387096774193548,297,0.4392585415095286,5.765020598977792e-12,0.6743115040987381,0.8104448742746615,0.6081277213352685,419,0.6801781867245997,1.1811765479456013e-25,0.649506829895359,0.5338491295938105,0.6571428571428571,276,0.49532255436002437,9.317426903098823e-15,0.6912070353328448,0.5725338491295938,0.6788990825688074,296,0.6774250274016062,2.3986201009465173e-25
"Qwen-2.5-7B (General, T=0.7)",0.71125,0.75,0.32608695652173914,15,0.7648686504121595,0.006152964256097345,0.72375,0.55,0.7333333333333333,11,1.0202713320543169,0.004322217722320108,0.8,0.75,0.6521739130434783,15,1.4824112591802139,0.0005827737073742946,0.75125,0.75,0.5357142857142857,15,0.8283465659417008,0.008631122510694225
"Qwen-2.5-7B (General, T=1.0)",0.6677631578947368,0.7916666666666666,0.3333333333333333,19,0.72918714190852,0.00628243365031313,0.682017543859649,0.5833333333333334,0.56,14,0.8301226210087578,0.008486619698501676,0.7478070175438596,0.75,0.4864864864864865,18,0.7430524667786989,0.0044693991016708295,0.6518640350877193,0.5833333333333334,0.3888888888888889,14,0.5023039263051283,0.03788419601600752
"Qwen-2.5-7B (General, T=1.5)",0.641298833079655,0.7037037037037037,0.4222222222222222,19,0.5053335137528697,0.03205002870101673,0.7473363774733638,0.7407407407407407,0.4878048780487805,20,0.8563823198960219,0.00043891314230499724,0.6671740233384069,0.7777777777777778,0.3888888888888889,21,0.6669452695148798,0.01233773797022574,0.6575342465753424,0.48148148148148145,0.5,13,0.6068195509877974,0.019858181203914384
