Model,HFER_Sep,HFER_Val_Mean,HFER_Inv_Mean,Fiedler_Sep,Fiedler_Val_Mean,Fiedler_Inv_Mean,Smoothness_Sep,Smoothness_Val_Mean,Smoothness_Inv_Mean,Entropy_Sep,Entropy_Val_Mean,Entropy_Inv_Mean
Llama-3.1-8B (Finance),0.009504622363414015,0.12044612964638085,0.12995075200979486,0.005412121701711632,0.6046993220906007,0.6101114437923124,-0.002345115116554681,0.9707926162637369,0.9684475011471823,0.02550497250958589,1.8209161010140058,1.8464210735235915
Llama-3.1-8B (General),0.02109561442828283,0.10904674304449705,0.13014235747277986,-0.010415850138088836,0.6161993159027779,0.605783465764689,0.0063952516026233655,0.9645664354515195,0.9709616870541429,0.06946808758839228,1.775774080779684,1.8452421683680764
Mistral-7B (General),0.01310047963026285,0.1438799208026214,0.15698040043288425,-0.004822654174737161,0.5757456072453894,0.5709229530706521,-0.012044669946179483,0.8388498457939902,0.8268051758478108,0.06806465423265678,2.0348044205680114,2.102869074800668
Qwen-2.5-7B (Finance),0.007278073782075035,0.15670018703123875,0.1639782608133138,0.001927935087572352,0.3249669593887207,0.3268948944762931,-0.008277641304773882,0.8556682688460521,0.8473906275412784,-0.05122359960670784,2.0816116517859182,2.0303880521792106
Qwen-2.5-7B (General),0.007380947860284553,0.15657509028608765,0.1639560381463722,0.0014485321519791712,0.32495518648989585,0.326403718641875,-0.008062816683606741,0.8558227661738987,0.847759949490292,-0.05656671661883591,2.080350000883142,2.023783284264306
"Llama-3.1-8B (Finance, T=1.0)",0.008150794056557399,0.12284061195314128,0.13099140600969866,0.0057159018556150985,0.6046841315631469,0.610400033418762,-0.0020942757017758454,0.9687728841237523,0.9666786084219765,0.017227765876201142,1.827711634241492,1.8449394001176929
"Qwen-2.5-7B (General, T=0.7)",0.006257588168004217,0.1573959359412697,0.16365352410927392,0.007100514005729181,0.32126061530468747,0.32836112931041667,-0.00797440827468846,0.8558579459662243,0.8478835376915358,-0.04537302137662971,2.0741042567417023,2.028731235365073
"Qwen-2.5-7B (General, T=1.0)",0.005261706917754465,0.16035224838313758,0.16561395530089207,0.007467816889528508,0.31974101799067983,0.3272088348802083,-0.005584265500933543,0.855361922035521,0.8497776565345875,-0.014730962423596838,2.0621887405255905,2.0474577781019936
"Qwen-2.5-7B (General, T=1.5)",0.0035193300560179626,0.16013336964649943,0.16365269970251742,9.298870427450316e-05,0.31865327074942923,0.3187462594537037,-0.003220767122105545,0.8548792153595878,0.8516584482374819,-0.026928333793973903,2.052953230123542,2.026024896329568
